Team,Conference,Year,Target,Win %,Off.Rank,Def.Rank,Avg.Turnover.Margin.per.Game,Points.Per.Game,Avg.Points.per.Game.Allowed,Rush.Yards.Per.Game.Allowed,Rushing.Yards.per.Game,Pass.Yards.Per.Game.Allowed,Pass.Yards.Per.Game,Off.Yards.Play,Yards.Play.Allowed,X3rd.Percent,Opponent.3rd.Percent,Redzone.Points,Redzone.Points.Allowed
Utah,Pac-12,2015,1,0.7692307692307693,97,41,1.0,30.6,22.3,108.6,183.0,258.2,180.0,5.11,5.18,0.41,0.394,0.913,0.826
UTEP,C-USA,2015,0,0.4166666666666667,107,93,-0.92,20.7,32.9,162.8,146.8,265.0,195.5,4.92,6.82,0.397,0.357,0.867,0.854
UTSA,C-USA,2015,0,0.25,98,100,-0.08,22.6,33.8,168.9,168.8,275.2,193.4,5.0,5.97,0.405,0.415,0.756,0.793
Vanderbilt,SEC,2015,0,0.3333333333333333,116,28,-0.67,15.2,21.0,143.2,154.7,207.3,171.8,4.5,5.17,0.373,0.282,0.636,0.714
Virginia,ACC,2015,0,0.3333333333333333,75,79,-0.75,25.8,32.2,156.6,144.8,254.9,238.3,5.49,6.23,0.425,0.369,0.879,0.809
Virginia Tech,ACC,2015,0,0.5384615384615384,74,44,0.31,31.0,26.3,180.7,159.2,189.2,225.8,5.33,5.55,0.383,0.335,0.865,0.875
Wake Forest,ACC,2015,0,0.25,113,38,-1.08,17.4,24.6,161.3,105.2,202.5,228.3,4.8,5.57,0.351,0.354,0.781,0.788
Washington,Pac-12,2015,0,0.5384615384615384,61,31,0.38,30.6,18.8,125.3,163.8,226.5,239.2,6.0,4.9,0.379,0.368,0.83,0.795
Washington St.,Pac-12,2015,0,0.6923076923076923,25,84,-0.08,31.5,27.7,192.5,80.1,223.8,389.5,5.92,5.77,0.405,0.445,0.945,0.815
West Virginia,Big 12,2015,0,0.6153846153846154,23,61,0.69,34.0,24.6,158.7,228.2,237.8,251.5,5.93,5.32,0.391,0.317,0.828,0.884
Western Ky.,C-USA,2015,1,0.8571428571428571,9,72,1.0,44.3,25.9,165.6,154.1,239.6,372.2,7.23,5.69,0.478,0.352,0.877,0.776
Western Mich.,MAC,2015,0,0.6153846153846154,17,82,0.08,36.0,28.3,181.1,204.6,232.6,286.2,6.86,6.31,0.459,0.41,0.793,0.814
Wisconsin,Big Ten,2015,1,0.7692307692307693,79,2,0.23,26.8,13.7,95.4,150.3,173.2,228.3,5.29,4.41,0.408,0.312,0.852,0.76
Akron,MAC,2016,0,0.4166666666666667,84,114,-0.67,27.4,33.6,224.7,132.2,241.3,255.3,5.99,6.05,0.373,0.444,0.848,0.855
Alabama,SEC,2016,1,0.9333333333333333,34,2,0.67,38.8,13.0,63.9,245.0,197.9,210.3,6.47,3.99,0.438,0.307,0.892,0.84
Appalachian St.,Sun Belt,2016,1,0.7692307692307693,52,17,0.62,29.2,17.8,125.9,250.9,203.8,179.0,6.13,4.99,0.337,0.333,0.872,0.73
Arizona,Pac-12,2016,0,0.25,67,115,-0.58,24.8,38.3,194.2,235.0,275.2,178.1,6.08,6.1,0.363,0.526,0.775,0.875
Arizona St.,Pac-12,2016,0,0.4166666666666667,81,127,-0.33,33.3,39.8,163.1,131.5,357.4,259.3,5.21,7.07,0.381,0.358,0.915,0.917
Arkansas,SEC,2016,0,0.5384615384615384,54,76,-0.31,30.3,31.1,205.5,164.2,221.2,264.2,6.03,6.75,0.398,0.448,0.793,0.854
Arkansas St.,Sun Belt,2016,0,0.6153846153846154,93,29,0.38,27.3,21.5,143.4,137.2,219.5,242.2,5.37,4.99,0.294,0.356,0.784,0.805
Army West Point,FBS Independent,2016,0,0.6153846153846154,65,4,-0.23,29.9,19.8,121.2,339.5,170.2,74.4,5.89,5.09,0.483,0.38,0.824,0.879
Auburn,SEC,2016,0,0.6153846153846154,43,28,0.23,31.2,17.1,132.8,271.3,229.2,169.5,6.13,5.07,0.418,0.348,0.855,0.744
Ball St.,MAC,2016,0,0.3333333333333333,37,116,-0.83,27.0,30.1,150.6,220.0,319.7,229.2,5.64,6.38,0.451,0.451,0.782,0.938
Baylor,Big 12,2016,0,0.5384615384615384,6,81,-0.38,34.6,29.0,200.7,241.8,230.2,280.9,6.13,5.43,0.423,0.415,0.75,0.84
Boston College,ACC,2016,0,0.5384615384615384,127,9,0.54,20.4,25.0,108.5,149.1,205.6,143.8,4.42,5.09,0.314,0.315,0.821,0.8
Bowling Green,MAC,2016,0,0.3333333333333333,69,113,-1.33,24.8,38.3,190.9,180.8,273.3,226.1,5.13,6.32,0.307,0.448,0.766,0.87
Buffalo,MAC,2016,0,0.16666666666666666,111,87,-0.5,16.5,32.3,253.3,153.3,181.5,200.5,5.16,5.92,0.365,0.462,0.786,0.878
BYU,FBS Independent,2016,0,0.6923076923076923,71,34,0.92,29.5,19.5,112.8,201.2,252.2,197.9,5.43,5.52,0.477,0.373,0.945,0.743
California,Pac-12,2016,0,0.4166666666666667,10,125,0.25,37.1,42.6,272.8,154.3,245.4,358.8,5.95,6.71,0.391,0.472,0.87,0.926
Central Mich.,MAC,2016,0,0.46153846153846156,78,54,-0.46,26.3,30.3,169.0,115.9,222.9,276.1,5.8,5.74,0.415,0.418,0.725,0.788
Charlotte,C-USA,2016,0,0.3333333333333333,101,105,0.58,25.2,34.6,143.4,176.8,309.8,192.8,4.94,6.03,0.323,0.419,0.814,0.883
Cincinnati,AAC,2016,0,0.3333333333333333,99,72,0.08,19.3,26.9,189.6,118.2,233.3,255.9,5.28,5.34,0.379,0.479,0.811,0.784
Clemson,ACC,2016,1,0.9333333333333333,12,8,-0.07,39.2,18.0,129.6,169.7,181.9,333.9,6.19,4.63,0.502,0.281,0.842,0.789
Colorado,Pac-12,2016,0,0.7142857142857143,47,19,0.43,31.1,21.7,148.9,182.6,193.6,254.5,5.54,4.87,0.443,0.327,0.881,0.745
Duke,ACC,2016,0,0.3333333333333333,76,67,-0.33,23.3,28.2,174.9,153.6,239.8,239.8,5.15,6.29,0.43,0.397,0.805,0.811
East Carolina,AAC,2016,0,0.25,23,100,-1.33,27.0,36.1,228.5,132.4,224.3,334.7,5.85,6.44,0.397,0.429,0.739,0.891
Eastern Mich.,MAC,2016,0,0.5384615384615384,35,83,0.08,29.6,29.8,167.5,159.1,265.2,296.1,5.92,5.84,0.468,0.419,0.895,0.841
FIU,C-USA,2016,0,0.3333333333333333,98,86,-0.75,24.0,34.8,198.8,148.6,235.8,226.7,5.43,6.34,0.359,0.429,0.864,0.907
Fla. Atlantic,C-USA,2016,0,0.25,72,124,-0.42,26.4,39.8,245.4,188.2,268.4,210.1,5.7,6.91,0.337,0.473,0.825,0.929
Florida,SEC,2016,0,0.6923076923076923,116,5,0.15,23.9,16.8,144.5,128.2,148.5,215.8,5.19,4.67,0.417,0.348,0.714,0.718
Florida St.,ACC,2016,1,0.7692307692307693,25,22,0.23,35.1,25.0,128.0,202.3,221.1,264.1,6.46,5.27,0.438,0.339,0.965,0.8
Ga. Southern,Sun Belt,2016,0,0.4166666666666667,91,58,0.08,26.6,26.5,167.1,224.2,229.5,155.7,5.24,5.94,0.443,0.327,0.872,0.771
Georgia,SEC,2016,0,0.6153846153846154,87,16,0.62,24.5,24.0,143.7,191.2,183.8,193.5,5.44,5.26,0.418,0.368,0.844,0.907
Georgia St.,Sun Belt,2016,0,0.25,119,46,-0.42,19.9,26.6,206.8,87.7,173.9,246.3,5.31,4.91,0.382,0.391,0.852,0.778
Georgia Tech,ACC,2016,0,0.6923076923076923,85,59,0.31,28.2,24.5,172.2,258.1,229.4,129.2,6.53,5.76,0.418,0.492,0.854,0.804
Houston,AAC,2016,0,0.6923076923076923,41,13,-0.54,35.8,23.5,100.2,147.1,219.5,296.3,5.32,4.8,0.472,0.342,0.859,0.882
Idaho,Sun Belt,2016,0,0.6923076923076923,74,78,0.85,30.8,31.3,144.8,147.8,283.5,249.2,5.61,6.24,0.396,0.423,0.879,0.918
Illinois,Big Ten,2016,0,0.25,123,61,-0.17,19.7,31.9,219.2,140.5,185.9,174.6,5.32,5.54,0.284,0.446,0.774,0.895
Indiana,Big Ten,2016,0,0.46153846153846156,56,45,-0.46,25.8,27.2,160.4,152.2,219.7,273.8,5.59,5.09,0.399,0.329,0.714,0.907
Iowa,Big Ten,2016,0,0.6153846153846154,121,23,0.46,24.9,18.8,149.8,171.8,201.4,153.2,5.2,5.11,0.318,0.35,0.878,0.75
Iowa St.,Big 12,2016,0,0.25,60,102,-0.25,27.7,31.3,218.2,162.8,234.8,258.8,5.91,5.97,0.429,0.448,0.927,0.902
Kansas,Big 12,2016,0,0.16666666666666666,106,109,-1.17,20.3,37.3,236.4,119.1,219.8,240.4,4.96,6.04,0.33,0.356,0.844,0.774
Kansas St.,Big 12,2016,0,0.6923076923076923,83,51,1.0,32.2,22.3,115.0,231.8,272.7,157.0,5.74,5.77,0.454,0.374,0.919,0.778
Kent St.,MAC,2016,0,0.25,125,50,0.92,20.6,28.7,189.8,167.5,196.8,141.7,4.85,5.21,0.331,0.398,0.771,0.84
Kentucky,SEC,2016,0,0.5384615384615384,61,85,-0.54,30.0,31.3,228.2,234.2,206.1,186.1,6.26,6.08,0.391,0.444,0.857,0.809
La.-Monroe,Sun Belt,2016,0,0.3333333333333333,100,119,-0.92,23.3,39.1,260.3,181.3,220.1,192.0,5.11,6.65,0.424,0.447,0.775,0.891
Louisiana,Sun Belt,2016,0,0.46153846153846156,108,43,0.08,23.6,25.3,129.2,178.9,249.9,178.2,5.0,5.3,0.374,0.371,0.891,0.86
Louisiana Tech,C-USA,2016,0,0.6428571428571429,9,71,0.07,44.3,33.6,146.2,151.4,274.7,363.4,7.51,5.79,0.503,0.455,0.855,0.903
Louisville,ACC,2016,0,0.6923076923076923,3,14,-0.54,42.5,23.8,115.2,242.2,207.1,290.5,7.21,4.69,0.411,0.315,0.829,0.886
LSU,SEC,2016,0,0.6666666666666666,59,10,0.0,28.3,15.8,117.3,233.0,197.2,190.1,6.71,4.76,0.434,0.323,0.825,0.818
Marshall,C-USA,2016,0,0.25,114,107,0.33,26.4,35.3,202.3,108.2,253.7,241.8,5.04,6.39,0.341,0.4,0.824,0.8
Maryland,Big Ten,2016,0,0.46153846153846156,95,77,-0.54,25.8,29.5,214.8,199.5,212.3,178.2,5.61,5.67,0.343,0.375,0.842,0.786
Massachusetts,FBS Independent,2016,0,0.16666666666666666,109,99,-0.83,23.3,35.5,193.1,99.5,259.6,256.7,5.33,6.13,0.325,0.404,0.78,0.895
Memphis,AAC,2016,0,0.6153846153846154,28,106,0.62,38.8,28.8,204.9,159.3,249.7,304.4,6.25,5.77,0.407,0.38,0.8,0.833
Miami,FL,2016,0,0.6923076923076923,57,20,0.69,34.3,18.5,131.8,151.8,213.8,274.2,6.43,4.75,0.363,0.386,0.815,0.795
Miami,OH,2016,0,0.46153846153846156,104,25,0.08,22.8,23.8,144.4,136.3,208.8,230.6,5.67,5.24,0.378,0.408,0.825,0.786
Michigan,Big Ten,2016,1,0.7692307692307693,58,1,0.54,40.3,14.1,119.2,212.9,142.5,212.0,5.85,4.21,0.432,0.21,0.912,0.714
Michigan St.,Big Ten,2016,0,0.25,75,32,-0.42,24.1,27.8,158.7,172.7,206.2,222.3,5.64,5.53,0.387,0.423,0.81,0.902
Middle Tenn.,C-USA,2016,0,0.6153846153846154,8,96,-0.15,39.7,35.8,198.7,191.8,250.8,325.8,6.92,5.47,0.446,0.386,0.932,0.797
Minnesota,Big Ten,2016,0,0.6923076923076923,107,21,0.62,29.3,22.1,117.8,183.6,230.9,173.6,5.24,4.82,0.384,0.388,0.875,0.897
Mississippi St.,SEC,2016,0,0.46153846153846156,44,110,0.54,30.4,31.8,177.5,230.5,281.5,209.7,6.07,6.24,0.406,0.411,0.774,0.807
Missouri,SEC,2016,0,0.3333333333333333,13,118,-0.25,31.4,31.5,232.8,205.1,246.8,295.4,6.34,6.07,0.43,0.443,0.745,0.82
Navy,AAC,2016,0,0.6428571428571429,46,84,0.14,37.9,31.0,179.9,310.1,254.1,128.1,6.82,6.34,0.545,0.535,0.899,0.913
NC State,ACC,2016,0,0.5384615384615384,63,24,0.15,27.0,22.8,108.6,156.2,244.2,260.2,5.75,5.13,0.438,0.349,0.741,0.844
Nebraska,Big Ten,2016,0,0.6923076923076923,90,30,0.38,26.5,23.9,147.8,169.2,215.8,211.7,5.36,5.53,0.439,0.374,0.822,0.853
New Mexico St.,Sun Belt,2016,0,0.25,64,121,0.08,24.8,38.8,244.3,169.8,252.4,244.9,5.44,6.56,0.339,0.469,0.739,0.877
North Carolina,ACC,2016,0,0.6153846153846154,45,63,-0.15,32.3,24.9,227.3,145.8,180.8,293.2,6.64,5.37,0.455,0.426,0.836,0.796
North Texas,C-USA,2016,0,0.38461538461538464,117,89,0.08,24.8,32.6,239.5,133.5,200.2,208.3,5.08,6.07,0.348,0.477,0.805,0.863
Northern Ill.,MAC,2016,0,0.4166666666666667,27,98,-0.08,30.5,30.3,200.8,239.8,250.7,224.0,5.86,5.79,0.414,0.378,0.82,0.755
Northwestern,Big Ten,2016,0,0.5384615384615384,73,60,0.69,26.0,22.2,139.2,153.2,265.2,245.1,5.26,5.4,0.395,0.365,0.738,0.732
Notre Dame,FBS Independent,2016,0,0.3333333333333333,62,42,-0.33,30.9,27.8,182.4,163.3,196.4,254.3,6.07,5.4,0.405,0.39,0.833,0.81
Ohio,MAC,2016,0,0.5714285714285714,77,27,0.07,26.3,22.6,104.4,167.9,255.8,224.4,5.47,5.13,0.377,0.387,0.817,0.854
Ohio St.,Big Ten,2016,1,0.8461538461538461,31,6,1.15,39.4,15.5,124.5,245.2,172.2,213.9,6.02,4.37,0.467,0.322,0.871,0.725
Oklahoma,Big 12,2016,1,0.8461538461538461,2,82,0.0,43.9,28.8,162.6,236.8,269.4,318.0,7.54,5.85,0.515,0.426,0.881,0.783
Oklahoma St.,Big 12,2016,1,0.7692307692307693,14,92,0.85,38.6,26.5,193.5,170.8,252.8,323.9,6.73,5.93,0.43,0.39,0.884,0.75
Old Dominion,C-USA,2016,1,0.7692307692307693,50,49,1.0,35.1,27.2,157.2,196.8,226.5,234.0,6.41,5.41,0.372,0.376,0.852,0.882
Ole Miss,SEC,2016,0,0.4166666666666667,26,111,-0.25,32.6,34.0,246.3,149.4,214.9,314.9,6.16,6.18,0.402,0.417,0.842,0.938
Oregon,Pac-12,2016,0,0.3333333333333333,15,126,-0.25,35.4,41.4,246.5,226.4,271.9,265.3,6.61,6.41,0.391,0.485,0.824,0.892
Oregon St.,Pac-12,2016,0,0.3333333333333333,105,79,0.08,26.2,30.5,218.0,191.7,211.2,173.8,5.52,5.76,0.372,0.418,0.868,0.818
Penn St.,Big Ten,2016,1,0.7857142857142857,49,37,0.07,37.6,25.4,151.3,171.9,216.6,260.7,6.5,5.04,0.326,0.384,0.866,0.896
Pittsburgh,ACC,2016,0,0.6153846153846154,38,101,0.08,40.9,35.2,119.6,225.1,333.2,221.7,6.71,5.98,0.454,0.406,0.864,0.914
Purdue,Big Ten,2016,0,0.25,80,91,-1.42,24.6,38.3,238.4,96.2,207.4,294.9,5.11,6.22,0.45,0.492,0.757,0.895
Rice,C-USA,2016,0,0.25,86,123,-0.58,25.3,37.3,216.8,169.7,287.7,215.2,5.16,7.43,0.368,0.395,0.897,0.833
Rutgers,Big Ten,2016,0,0.16666666666666666,128,97,-0.42,15.7,37.5,264.2,144.9,186.5,138.3,4.14,6.35,0.308,0.405,0.68,0.727
SMU,AAC,2016,0,0.4166666666666667,55,103,0.17,27.7,36.3,210.5,163.3,242.5,264.0,5.49,6.0,0.433,0.377,0.769,0.894
South Alabama,Sun Belt,2016,0,0.46153846153846156,82,53,-0.15,25.4,27.0,215.2,145.6,174.6,243.8,5.73,5.63,0.387,0.347,0.813,0.833
South Carolina,SEC,2016,0,0.46153846153846156,115,66,0.54,20.8,26.5,203.2,134.4,208.7,213.2,5.15,5.62,0.342,0.426,0.756,0.755
South Fla.,AAC,2016,1,0.8461538461538461,11,120,0.69,43.8,31.6,196.5,285.3,285.5,226.2,7.17,5.82,0.444,0.392,0.86,0.85
Southern California,Pac-12,2016,1,0.7692307692307693,20,36,0.0,34.4,24.2,139.6,200.7,227.5,276.4,6.4,5.38,0.478,0.354,0.825,0.816
Southern Miss.,C-USA,2016,0,0.5384615384615384,21,15,-1.31,32.8,29.5,149.9,174.5,174.9,298.2,6.01,5.71,0.409,0.24,0.855,0.825
Stanford,Pac-12,2016,1,0.7692307692307693,103,38,0.15,26.3,20.4,144.5,208.9,223.6,158.2,5.77,5.35,0.421,0.372,0.846,0.8
Syracuse,ACC,2016,0,0.3333333333333333,42,122,-0.08,25.7,38.6,225.0,119.6,276.1,321.3,5.45,6.91,0.396,0.414,0.784,0.813
TCU,Big 12,2016,0,0.46153846153846156,29,73,-0.31,31.0,28.0,185.8,195.0,238.9,268.2,6.08,5.49,0.406,0.436,0.8,0.907
Temple,AAC,2016,0,0.7142857142857143,66,3,0.43,32.4,18.4,130.4,176.1,152.1,237.4,5.99,4.64,0.416,0.347,0.857,0.765
Tennessee,SEC,2016,0,0.6923076923076923,40,95,-0.15,36.4,28.8,218.5,205.2,230.7,238.5,6.44,5.84,0.411,0.379,0.878,0.86
Texas,Big 12,2016,0,0.4166666666666667,16,94,-0.25,31.9,31.5,189.8,239.3,258.5,252.0,5.9,5.63,0.361,0.383,0.8,0.851
Texas A&M,SEC,2016,0,0.6153846153846154,24,90,0.23,34.8,24.5,191.8,211.8,250.0,255.2,6.37,5.55,0.392,0.389,0.852,0.75
Texas St.,Sun Belt,2016,0,0.16666666666666666,126,117,-1.17,18.6,41.1,222.3,82.4,248.8,219.9,4.31,6.19,0.31,0.423,0.818,0.967
Texas Tech,Big 12,2016,0,0.4166666666666667,1,128,-0.33,43.7,43.5,238.6,101.5,315.8,463.0,6.5,7.05,0.518,0.433,0.905,0.855
Toledo,MAC,2016,0,0.6923076923076923,7,57,-0.31,38.0,25.7,175.8,195.0,220.8,322.8,7.2,5.81,0.511,0.347,0.92,0.851
Troy,Sun Belt,2016,1,0.7692307692307693,53,35,0.77,33.7,22.1,120.2,169.2,246.4,260.5,5.72,5.05,0.37,0.353,0.873,0.8
Tulane,AAC,2016,0,0.3333333333333333,118,31,0.75,24.1,27.7,159.3,228.1,205.3,113.3,4.83,5.36,0.278,0.429,0.762,0.857
Tulsa,AAC,2016,1,0.7692307692307693,4,75,0.0,42.5,29.8,176.3,261.7,250.2,265.3,6.15,5.47,0.462,0.373,0.894,0.82
UCF,AAC,2016,0,0.46153846153846156,113,39,0.08,28.8,24.6,169.5,141.2,200.8,209.7,4.68,4.78,0.297,0.29,0.914,0.707
UCLA,Pac-12,2016,0,0.3333333333333333,91,47,-0.17,24.9,27.5,171.5,84.3,210.5,295.6,5.43,4.86,0.352,0.347,0.795,0.878
UConn,AAC,2016,0,0.25,122,65,-0.67,14.8,28.1,146.1,117.3,264.7,202.7,4.81,5.72,0.337,0.408,0.733,0.729
Utah,Pac-12,2016,0,0.6923076923076923,51,48,0.46,29.8,23.9,128.7,214.0,254.3,216.7,5.78,5.56,0.383,0.388,0.778,0.865
UTEP,C-USA,2016,0,0.3333333333333333,102,70,-0.42,26.3,34.9,210.3,185.5,209.0,183.7,6.02,6.12,0.418,0.414,0.839,0.913
UTSA,C-USA,2016,0,0.46153846153846156,97,55,0.23,29.2,27.9,162.5,161.8,229.5,213.6,5.38,5.69,0.44,0.398,0.88,0.792
Vanderbilt,SEC,2016,0,0.46153846153846156,110,64,0.31,23.0,24.0,163.5,164.5,244.6,191.2,5.19,5.9,0.355,0.403,0.935,0.653
Virginia,ACC,2016,0,0.16666666666666666,112,93,-0.75,22.5,33.8,190.0,113.6,256.6,239.3,4.86,6.33,0.346,0.434,0.846,0.927
Virginia Tech,ACC,2016,0,0.7142857142857143,39,18,-0.07,35.0,22.8,140.5,183.1,200.2,261.9,5.73,4.99,0.425,0.275,0.882,0.829
Wake Forest,ACC,2016,0,0.5384615384615384,124,40,0.62,20.4,22.2,142.4,145.8,228.2,165.7,4.57,5.33,0.348,0.341,0.9,0.778
Washington,Pac-12,2016,1,0.8571428571428571,32,12,1.29,41.8,17.7,133.9,198.1,182.9,258.8,6.83,4.61,0.441,0.306,0.931,0.767
Washington St.,Pac-12,2016,0,0.6153846153846154,18,62,0.46,38.2,26.4,134.2,120.0,271.7,362.5,6.11,6.04,0.471,0.399,0.831,0.842
West Virginia,Big 12,2016,1,0.7692307692307693,17,74,0.31,31.2,24.0,168.2,228.4,257.7,257.2,6.42,5.56,0.428,0.403,0.807,0.84
Western Ky.,C-USA,2016,1,0.7857142857142857,5,41,0.14,45.5,24.6,97.2,186.4,279.4,336.8,7.65,5.2,0.467,0.38,0.863,0.851
Western Mich.,MAC,2016,1,0.9285714285714286,19,26,1.29,41.6,19.8,153.6,228.9,200.1,252.4,6.66,5.82,0.537,0.397,0.956,0.857
Wisconsin,Big Ten,2016,1,0.7857142857142857,89,7,0.86,28.4,15.6,98.8,203.1,202.6,179.1,5.45,4.92,0.441,0.279,0.845,0.789
Air Force,MWC,2017,0,0.4166666666666667,49,66,-0.83,31.4,32.4,222.8,307.4,171.1,110.1,5.52,6.81,0.488,0.423,0.875,0.884
Akron,MAC,2017,0,0.5,121,103,0.71,22.1,28.0,205.4,105.4,237.4,210.6,4.88,6.02,0.394,0.342,0.727,0.8
Alabama,SEC,2017,1,0.9285714285714286,29,1,1.0,37.1,11.9,94.7,250.6,165.7,193.4,6.59,3.99,0.404,0.346,0.853,0.75
Appalachian St.,Sun Belt,2017,0,0.6923076923076923,31,29,0.92,33.5,20.2,137.5,223.6,205.1,216.2,6.45,5.31,0.403,0.331,0.842,0.821
Arizona,Pac-12,2017,0,0.5384615384615384,12,118,0.23,41.3,34.4,185.1,309.3,286.1,180.2,7.01,6.03,0.423,0.467,0.885,0.762
Arizona St.,Pac-12,2017,0,0.5384615384615384,37,108,0.15,31.8,32.8,174.8,175.1,274.9,255.7,5.71,6.33,0.447,0.422,0.962,0.818
Arkansas,SEC,2017,0,0.3333333333333333,94,101,-0.08,28.8,36.2,196.1,168.0,242.2,205.4,5.59,6.45,0.418,0.475,0.875,0.923
Arkansas St.,Sun Belt,2017,0,0.5833333333333334,10,54,-0.08,37.8,25.8,136.1,152.6,241.4,342.2,6.09,5.29,0.444,0.33,0.719,0.806
Army West Point,FBS Independent,2017,1,0.7692307692307693,76,32,0.38,30.7,22.0,172.9,362.3,176.8,27.8,5.97,6.25,0.552,0.401,0.863,0.706
Auburn,SEC,2017,0,0.7142857142857143,26,14,-0.07,33.9,18.5,137.0,218.3,182.4,233.4,6.17,4.67,0.455,0.329,0.881,0.833
Ball St.,MAC,2017,0,0.16666666666666666,110,87,-0.75,17.9,40.7,188.0,158.0,233.6,177.2,4.46,6.62,0.389,0.466,0.767,0.863
Baylor,Big 12,2017,0,0.08333333333333333,59,111,-1.17,24.3,35.9,189.9,117.3,267.0,287.7,5.55,6.46,0.328,0.391,0.775,0.886
Boise St.,MWC,2017,1,0.7857142857142857,57,22,0.93,32.5,22.9,120.2,143.5,212.4,262.6,5.8,4.83,0.458,0.382,0.81,0.875
Boston College,ACC,2017,0,0.5384615384615384,84,57,0.38,25.7,22.8,190.9,220.4,191.9,166.3,5.1,5.37,0.385,0.37,0.822,0.81
Bowling Green,MAC,2017,0,0.16666666666666666,85,125,-0.08,25.3,38.0,253.3,151.7,253.3,235.0,5.48,6.61,0.364,0.478,0.905,0.855
Buffalo,MAC,2017,0,0.5,36,71,0.08,28.5,24.8,194.8,141.1,203.3,290.8,6.26,5.49,0.414,0.418,0.764,0.744
BYU,FBS Independent,2017,0,0.3076923076923077,118,51,-0.77,17.1,24.7,147.6,130.5,225.2,194.6,5.14,5.35,0.358,0.406,0.737,0.83
California,Pac-12,2017,0,0.4166666666666667,89,95,0.33,27.8,28.4,164.1,125.6,265.8,258.9,5.17,5.81,0.404,0.442,0.816,0.809
Central Mich.,MAC,2017,0,0.6153846153846154,77,49,0.0,28.5,27.5,185.2,134.1,185.5,255.7,5.49,5.03,0.304,0.349,0.791,0.745
Charlotte,C-USA,2017,0,0.08333333333333333,123,110,-0.75,14.2,32.8,205.8,166.3,248.8,136.9,4.92,6.16,0.26,0.436,0.692,0.896
Cincinnati,AAC,2017,0,0.3333333333333333,101,94,-0.42,20.9,31.8,192.4,135.3,236.1,216.4,5.24,5.85,0.39,0.433,0.75,0.87
Clemson,ACC,2017,1,0.8571428571428571,38,4,0.29,33.3,13.6,114.9,194.1,161.9,235.5,5.74,4.27,0.463,0.293,0.902,0.793
Colorado,Pac-12,2017,0,0.4166666666666667,48,109,0.0,26.4,28.2,208.0,157.2,242.6,260.4,5.51,6.12,0.418,0.422,0.841,0.851
Colorado St.,MWC,2017,0,0.5384615384615384,11,97,0.15,33.4,27.8,187.1,200.2,244.5,292.2,6.55,6.29,0.503,0.441,0.857,0.813
Duke,ACC,2017,0,0.5384615384615384,88,21,0.0,26.5,20.2,153.2,171.4,179.4,213.4,4.92,5.22,0.392,0.32,0.83,0.84
East Carolina,AAC,2017,0,0.25,42,129,-0.83,24.9,45.0,245.5,107.7,296.2,317.9,5.44,7.72,0.412,0.52,0.75,0.893
Eastern Mich.,MAC,2017,0,0.4166666666666667,83,39,-0.33,26.1,23.3,173.3,129.6,190.3,257.3,5.42,5.34,0.345,0.368,0.833,0.86
FIU,C-USA,2017,0,0.6153846153846154,73,83,-0.23,25.6,28.5,171.3,159.2,243.6,233.2,5.73,6.02,0.432,0.384,0.976,0.792
Fla. Atlantic,C-USA,2017,1,0.7857142857142857,9,63,0.93,40.6,22.7,158.9,285.3,230.7,213.1,6.8,5.19,0.397,0.394,0.938,0.771
Florida,SEC,2017,0,0.36363636363636365,109,31,-0.27,22.1,27.3,153.9,156.4,195.4,179.5,5.19,5.73,0.325,0.331,0.968,0.829
Florida St.,ACC,2017,0,0.5384615384615384,100,18,-0.46,27.8,21.2,135.6,155.7,195.5,196.2,5.66,4.75,0.352,0.362,0.917,0.897
Fresno St.,MWC,2017,0,0.7142857142857143,72,15,0.57,27.1,17.9,113.4,155.0,207.1,237.9,5.78,4.86,0.356,0.348,0.887,0.846
Ga. Southern,Sun Belt,2017,0,0.16666666666666666,113,80,0.0,20.8,32.2,180.3,222.3,230.1,110.0,4.75,6.6,0.351,0.392,0.763,0.795
Georgia,SEC,2017,1,0.8666666666666667,32,6,0.27,35.4,16.4,126.0,258.4,168.9,176.9,6.7,4.69,0.456,0.329,0.964,0.775
Georgia St.,Sun Belt,2017,0,0.5833333333333334,81,61,-0.33,20.3,24.8,136.4,117.3,251.4,270.7,5.46,5.8,0.429,0.385,0.667,0.775
Georgia Tech,ACC,2017,0,0.45454545454545453,74,33,-0.45,28.1,26.5,153.6,307.4,200.6,84.3,5.74,5.52,0.456,0.309,0.889,0.973
Hawaii,MWC,2017,0,0.25,63,114,0.08,22.8,33.9,210.2,168.2,248.6,234.5,5.73,6.76,0.383,0.488,0.698,0.8
Houston,AAC,2017,0,0.5833333333333334,40,88,-0.17,28.3,23.8,147.9,166.8,274.3,261.3,6.0,5.37,0.455,0.391,0.875,0.771
Idaho,Sun Belt,2017,0,0.3333333333333333,104,64,0.17,20.9,25.8,168.1,124.6,222.3,224.9,5.09,5.61,0.354,0.404,0.805,0.796
Illinois,Big Ten,2017,0,0.16666666666666666,126,85,-0.58,15.4,31.5,218.5,105.6,199.9,174.8,4.64,5.66,0.335,0.437,0.889,0.814
Indiana,Big Ten,2017,0,0.4166666666666667,70,27,-0.58,26.8,25.3,160.4,130.1,179.7,265.7,4.99,4.92,0.379,0.299,0.864,0.875
