Team,Conference,Year,Target,Win %,Off.Rank,Def.Rank,Avg.Turnover.Margin.per.Game,Points.Per.Game,Avg.Points.per.Game.Allowed,Rush.Yards.Per.Game.Allowed,Rushing.Yards.per.Game,Pass.Yards.Per.Game.Allowed,Pass.Yards.Per.Game,Off.Yards.Play,Yards.Play.Allowed,X3rd.Percent,Opponent.3rd.Percent,Redzone.Points,Redzone.Points.Allowed
Miami,FL,2013,0,0.6923076923076923,48,89,0.38,33.8,26.8,176.5,160.3,249.8,265.5,6.75,5.75,0.352,0.419,0.8,0.8
Miami,OH,2013,0,0.0,122,113,-0.25,9.8,35.7,223.3,101.6,260.9,124.3,3.68,6.35,0.246,0.482,0.632,0.794
Michigan,Big Ten,2013,0,0.5384615384615384,86,41,0.38,32.2,26.8,140.2,125.7,231.3,247.8,5.44,5.29,0.392,0.398,0.857,0.867
Michigan St.,Big Ten,2013,1,0.9285714285714286,80,2,0.93,29.4,13.2,86.6,173.8,165.6,211.7,5.4,4.04,0.441,0.279,0.8,0.8
Middle Tenn.,C-USA,2013,0,0.6153846153846154,66,63,0.92,29.0,26.2,199.3,199.3,203.4,208.2,5.7,5.3,0.464,0.478,0.774,0.755
Minnesota,Big Ten,2013,0,0.6153846153846154,105,43,0.23,25.7,22.2,158.2,195.2,215.1,148.1,5.23,5.66,0.423,0.368,0.892,0.74
Mississippi St.,SEC,2013,0,0.5384615384615384,42,18,0.54,27.7,23.0,144.2,189.9,205.2,244.5,5.91,5.45,0.392,0.352,0.8,0.846
Missouri,SEC,2013,1,0.8571428571428571,16,81,1.14,39.1,23.1,152.9,237.9,264.8,252.9,6.59,5.41,0.438,0.378,0.875,0.833
Navy,FBS Independent,2013,0,0.6923076923076923,61,57,0.92,33.5,24.4,178.8,325.4,215.9,85.9,5.81,5.65,0.511,0.459,0.869,0.778
NC State,ACC,2013,0,0.25,70,61,0.0,22.8,30.2,180.2,162.7,219.3,240.8,5.12,5.89,0.383,0.407,0.769,0.95
Nebraska,Big Ten,2013,0,0.6923076923076923,58,40,-0.85,31.9,24.8,156.2,215.7,214.6,196.7,5.57,5.21,0.392,0.309,0.88,0.886
New Mexico St.,FBS Independent,2013,0,0.16666666666666666,81,123,-0.5,20.9,44.6,299.5,144.3,250.0,240.9,5.43,7.65,0.367,0.452,0.914,0.81
North Carolina,ACC,2013,0,0.5384615384615384,49,64,0.15,32.7,24.5,182.5,148.3,220.7,277.4,5.87,5.28,0.41,0.4,0.894,0.844
North Texas,C-USA,2013,0,0.6923076923076923,63,17,0.85,31.8,17.8,120.5,180.7,227.8,229.8,5.61,5.14,0.47,0.363,0.841,0.629
Northern Ill.,MAC,2013,1,0.8571428571428571,5,78,0.93,39.6,25.1,151.7,297.2,263.1,222.6,6.78,5.44,0.452,0.387,0.851,0.837
Northwestern,Big Ten,2013,0,0.4166666666666667,73,88,0.25,26.2,27.1,167.3,172.4,256.2,227.2,5.39,5.46,0.399,0.401,0.957,0.864
Notre Dame,FBS Independent,2013,0,0.6923076923076923,67,31,0.0,27.2,22.4,168.0,151.3,198.2,254.8,6.08,5.12,0.42,0.419,0.8,0.813
Ohio,MAC,2013,0,0.5384615384615384,83,67,-0.15,27.4,27.5,187.9,134.0,217.9,245.4,5.56,5.75,0.392,0.442,0.818,0.721
Ohio St.,Big Ten,2013,1,0.8571428571428571,7,46,0.36,45.5,22.6,109.4,308.6,268.0,203.3,7.15,5.28,0.467,0.356,0.952,0.791
Oklahoma,Big 12,2013,1,0.8461538461538461,52,20,0.62,32.8,22.1,137.6,223.9,212.5,199.1,5.84,5.38,0.395,0.337,0.873,0.857
